Name,Link,Prize
ETHGlobal Agents,https://github.com/juSt-jeLLy/Clash-of-Clout,"$3,500"
Entrepreneur First AI Security,,"$2,000"
ETHGlobal Cannes,https://github.com/imbjdd/loggerhead,"$1,500"
ETHGlobal Brussels,https://github.com/imbjdd/ethglobal-brussels,"$1,500"
Legal Frontier Hackathon,https://github.com/imbjdd/alphavibe-compliance,"$50"
World Wild Web Hackathon,https://github.com/imbjdd/www-winner,"$200"
ETHShanghai,https://github.com/orgs/SoveiLive/repositories,"$300"
ETHGlobal Trifecta,https://github.com/imbjdd/privlend-front,
ETHPrague 2024,https://github.com/orgs/Climate-Compass/repositories,
Hackathon Campus Fund x Albert x 42,https://github.com/imbjdd/marketplace,
Telecom Paris x IBM x Margo,,"$200"
Hugging Face x Anthropic x Unaite,https://github.com/vlad-ds/ml-agent,
ChilizHack,https://github.com/DZ-Ramzy/chilizHack/,
Aleo Paris,,
